aeolak_barrel,2023-09-24T00:00:00.000+00:00,closed,14,15.0,25.0,10.0,21.5,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-24T00:00:00.000+00:00,sell,262,15.0,35.0,20.0,25.0,25.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-21T00:00:00.000+00:00,buy,33,7.0,20.0,13.0,15.0,13.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-24T00:00:00.000+00:00,buy,42,5.0,18.0,13.0,11.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-23T00:00:00.000+00:00,closed,9,20.0,25.0,5.0,20.0,22.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-22T00:00:00.000+00:00,buy,48,5.0,16.0,11.0,10.0,10.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-21T00:00:00.000+00:00,sell,181,18.0,38.0,20.0,25.0,28.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-22T00:00:00.000+00:00,sell,245,16.0,38.0,22.0,25.0,27.0,,626ca573f40db600829c9d0d
aeolak_receiver,2023-09-24T00:00:00.000+00:00,buy,51,16.0,40.0,24.0,30.0,28.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-24T00:00:00.000+00:00,closed,14,40.0,55.0,15.0,50.0,47.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-25T00:00:00.000+00:00,sell,62,40.0,85.0,45.0,50.0,62.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-25T00:00:00.000+00:00,buy,55,20.0,40.0,20.0,30.0,30.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-21T00:00:00.000+00:00,sell,62,40.0,100.0,60.0,60.0,70.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-22T00:00:00.000+00:00,sell,73,40.0,90.0,50.0,50.0,65.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-24T00:00:00.000+00:00,sell,65,40.0,85.0,45.0,50.0,62.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-21T00:00:00.000+00:00,buy,54,16.0,40.0,24.0,30.0,28.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-27T00:00:00.000+00:00,closed,9,40.0,50.0,10.0,45.0,45.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-21T00:00:00.000+00:00,closed,9,40.0,50.0,10.0,45.0,45.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-27T00:00:00.000+00:00,buy,60,16.0,40.0,24.0,30.0,28.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-22T00:00:00.000+00:00,closed,7,40.0,50.0,10.0,45.0,45.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-22T00:00:00.000+00:00,buy,61,19.0,40.0,21.0,30.0,29.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-25T00:00:00.000+00:00,closed,5,49.0,50.0,1.0,50.0,49.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-27T00:00:00.000+00:00,sell,53,44.0,75.0,31.0,50.0,59.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-23T00:00:00.000+00:00,sell,64,40.0,90.0,50.0,56.5,65.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-23T00:00:00.000+00:00,closed,14,40.0,55.0,15.0,44.5,47.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-23T00:00:00.000+00:00,buy,51,25.0,40.0,15.0,33.0,32.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-26T00:00:00.000+00:00,sell,56,44.0,80.0,36.0,50.0,62.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-26T00:00:00.000+00:00,buy,63,20.0,40.0,20.0,30.0,30.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-09-26T00:00:00.000+00:00,closed,7,48.0,50.0,2.0,49.0,49.0,,626ca573f40db600829c9d0a
aeolak_set,2023-09-27T00:00:00.000+00:00,buy,52,50.0,138.0,88.0,100.0,94.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-27T00:00:00.000+00:00,sell,31,150.0,300.0,150.0,210.0,225.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-25T00:00:00.000+00:00,sell,26,165.0,300.0,135.0,210.0,232.5,,626ca573f40db600829c9d0e
aeolak_set,2023-09-25T00:00:00.000+00:00,buy,49,50.0,140.0,90.0,100.0,95.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-25T00:00:00.000+00:00,closed,6,140.0,199.0,59.0,182.5,169.5,,626ca573f40db600829c9d0e
aeolak_set,2023-09-24T00:00:00.000+00:00,closed,5,178.0,195.0,17.0,180.0,186.5,,626ca573f40db600829c9d0e
aeolak_set,2023-09-23T00:00:00.000+00:00,buy,45,50.0,150.0,100.0,100.0,100.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-26T00:00:00.000+00:00,buy,52,40.0,160.0,120.0,100.0,100.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-27T00:00:00.000+00:00,closed,3,160.0,180.0,20.0,170.0,170.0,,626ca573f40db600829c9d0e
aeolak_set,2023-09-21T00:00:00.000+00:00,sell,23,165.0,250.0,85.0,192.5,207.5,,626ca573f40db600829c9d0e
aeolak_set,2023-09-26T00:00:00.000+00:00,closed,2,175.0,180.0,5.0,177.5,177.5,,626ca573f40db600829c9d0e
